Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
DIS,102.12,2024/05/28,14:30 EDT,0.3600006,101.36,102.8599,100.945,4719072,,,,,,,
XOM,114.37,2024/05/28,14:30 EDT,0.9500046,113.52,114.78,113.07,7433735,,,,,,,
INTC,30.9484,2024/05/28,14:30 EDT,0.22840118,30.94,31.3695,30.655,20212354,,,,,,,
KO,61.615,2024/05/28,14:30 EDT,-0.38499832,61.79,62.13,61.4,6243684,,,,,,,
ADBE,474.39,2024/05/28,14:30 EDT,-1.039978,473.0,475.735,469.6,1358108,,,,,,,
UPS,136.4948,2024/05/28,14:30 EDT,-2.165207,138.0,139.18,136.34,1675514,,,,,,,
BA,173.54,2024/05/28,14:29 EDT,-0.980011,174.73,178.491,173.41,3995357,,,,,,,
AAPL,
TSLA,
NVDA,
NFLX,
GOOG,
MSFT,
ANF,
AEO,
HPQ,
CRM,
FL,
BBY,
COST,
DELL,
MRVL,
LULU,
CHPT,
VSCO,
NIO,
ABNB,
HLT,
RCL,
CCL,
